Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Negative_Control_1 Spectral Count	PYROXD1_D500N_1 Spectral Count	PYROXD1_N155S_1 Spectral Count	PYROXD1_Q372H_1 Spectral Count	PYROXD1_R132C_1 Spectral Count	PYROXD1_WT_1 Spectral Count	PYROXD1_Y354C_1 Spectral Count	PYROXD1_dE496_1 Spectral Count	Negative_Control_1 Unique Spectral Count	PYROXD1_D500N_1 Unique Spectral Count	PYROXD1_N155S_1 Unique Spectral Count	PYROXD1_Q372H_1 Unique Spectral Count	PYROXD1_R132C_1 Unique Spectral Count	PYROXD1_WT_1 Unique Spectral Count	PYROXD1_Y354C_1 Unique Spectral Count	PYROXD1_dE496_1 Unique Spectral Count	Negative_Control_1 Total Spectral Count	PYROXD1_D500N_1 Total Spectral Count	PYROXD1_N155S_1 Total Spectral Count	PYROXD1_Q372H_1 Total Spectral Count	PYROXD1_R132C_1 Total Spectral Count	PYROXD1_WT_1 Total Spectral Count	PYROXD1_Y354C_1 Total Spectral Count	PYROXD1_dE496_1 Total Spectral Count	Negative_Control_1 Intensity	PYROXD1_D500N_1 Intensity	PYROXD1_N155S_1 Intensity	PYROXD1_Q372H_1 Intensity	PYROXD1_R132C_1 Intensity	PYROXD1_WT_1 Intensity	PYROXD1_Y354C_1 Intensity	PYROXD1_dE496_1 Intensity	Negative_Control_1 MaxLFQ Intensity	PYROXD1_D500N_1 MaxLFQ Intensity	PYROXD1_N155S_1 MaxLFQ Intensity	PYROXD1_Q372H_1 MaxLFQ Intensity	PYROXD1_R132C_1 MaxLFQ Intensity	PYROXD1_WT_1 MaxLFQ Intensity	PYROXD1_Y354C_1 MaxLFQ Intensity	PYROXD1_dE496_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	1:Experimental evidence at protein level	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	0.9924	0.999	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10420.456	0.0	0.0	0.0	0.0	14313.662	17301.219	20139.502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9NZJ9|NUDT4_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9606	0.999	1	7	0	7	0	1	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	2	9203.891	51187.598	11404.447	38777.41	17086.367	39697.65	26748.545	86603.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A0A0C4DH55|KVD07_HUMAN, sp|P01624|KV315_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN
sp|A0A075B6I1|LV460_HUMAN	A0A075B6I1	LV460_HUMAN	IGLV4-60	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-60	0.9607	0.999	1	4	4	4	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0.0	27379.572	0.0	20514.422	0.0	27276.035	11358.047	54614.566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9923	0.999	4	4	0	165	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	4	30	5	26	12	26	20	42	7690.5337	64705.266	6389.8125	46238.11	22061.227	32804.184	29825.496	60977.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1V1|HV321_HUMAN	A0A0B4J1V1	HV321_HUMAN	IGHV3-21	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-21	0.9589	0.999	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9507.3955	14061.759	14399.526	20307.678	4150.256	13858.451	15602.745	11409.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A0A0B4J1X5|HV374_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0J9YVY3|HV741_HUMAN, sp|P01762|HV311_HUMAN, sp|P01763|HV348_HUMAN, sp|P01767|HV353_HUMAN, sp|P01772|HV333_HUMAN, sp|P01780|HV307_HUMAN, sp|P0DP02|HVC33_HUMAN
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9607	0.999	1	3	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	10985.606	12940.214	13850.736	25254.646	9028.083	9715.662	13463.771	15913.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P01619|KV320_HUMAN
sp|A0A1B0GTR4|SPRR5_HUMAN	A0A1B0GTR4	SPRR5_HUMAN	SPRR5	108	Homo sapiens	1:Experimental evidence at protein level	Small proline-rich protein 5	0.9607	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	30252.607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	320	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1-like 3	0.9999	0.999	23	3	3	480	0	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	65	57	63	54	55	80	53	53	0.0	0.0	32091.908	0.0	0.0	57593.312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	4	8	8	8	0	0	0	2	0	1	4	1	0	0	0	2	0	1	4	1	0	0	0	2	0	1	4	1	0.0	0.0	5370.0205	14231.245	0.0	25785.484	40505.688	29761.383	0.0	0.0	0.0	0.0	0.0	14306.229	11495.578	16448.756	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	3	3	3	3	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	12990.119	0.0	8608.55	11970.8125	0.0	38344.67	16471.025	39464.055	0.0	0.0	0.0	0.0	0.0	16744.49	12433.511	20881.094	
